x,y,z
-167.5487782169,57.6416962234,-63.6562
-167.5487211928,57.6416992663,-63.9327
-167.5486625799,57.6417024154,-64.0751
-167.548612017,57.6417050996,-64.3878
-167.5485600044,57.6417078769,-64.5992
-167.5485040238,57.6417108936,-64.6496
-167.5484575992,57.641713365,-64.8722
-167.5484113512,57.6417158281,-65.0768
-167.5483618495,57.6417184886,-65.1434
-167.5483127956,57.64172113,-65.1678
-167.5482615052,57.6417239112,-65.0707
-167.5482152062,57.64172641,-65.0445
-167.5481757498,57.6417285085,-65.1988
-167.5481395272,57.6417304225,-65.4134
-167.5480968087,57.6417327254,-65.3853
-167.5480579892,57.641734804,-65.4334
-167.5480234415,57.6417366391,-65.5593
-167.5479881595,57.6417385184,-65.6457
-167.5479530176,57.6417403957,-65.7015
-167.547928384,57.64174165,-66.0908
-167.5479032118,57.6417429456,-66.4105
-167.5478703404,57.6417447001,-66.4482
-167.5478371143,57.6417464802,-66.4461
-167.5478057185,57.6417481573,-66.4712
-167.5477783898,57.6417495929,-66.6172
-167.5477482932,57.6417512038,-66.6029
-167.5477056917,57.6417535701,-66.0851
-167.5477322138,57.6417517631,-68.3264
-167.5477100318,57.6417529005,-68.6019
-167.5476984233,57.6417534013,-69.2777
-167.547685827,57.6417539583,-69.9299
-167.5476722737,57.6417545749,-70.5347
-167.5475826234,57.6417598412,-67.7489
-167.5475612599,57.6417609467,-67.9234
-167.547538055,57.6417621727,-67.9696
-167.5475221586,57.6417629492,-68.3582
-167.5475066653,57.6417637011,-68.7635
-167.5474692708,57.6417658064,-68.0827
-167.54743899,57.641767482,-67.6817
-167.5474131124,57.641768887,-67.4941
-167.5473908374,57.6417700725,-67.4543
-167.5473693236,57.6417712151,-67.4308
-167.5473487997,57.6417722996,-67.4364
-167.5473292628,57.6417733286,-67.4506
-167.5473119125,57.6417742204,-67.5866
-167.5472956471,57.6417750467,-67.7667
-167.5472791627,57.64177589,-67.9204
-167.547261164,57.6417768322,-67.9543
-167.5472235199,57.6417837671,-66.9019
-167.5472066075,57.6417846086,-66.9586
-167.547191125,57.6417853685,-67.0851
-167.5471764385,57.6417860826,-67.2457
-167.5471624864,57.6417867586,-67.4247
-167.5471490065,57.6417874049,-67.637
-167.5471353231,57.6417880671,-67.8268
-167.5471220099,57.6417887076,-68.0292
-167.5471086249,57.6417893526,-68.2155
-167.5470925146,57.6417901648,-68.1835
-167.5470740361,57.6417911165,-67.9915
-167.5470567005,57.6417920028,-67.8718
-167.5470400819,57.6417928489,-67.7679
-167.5470247572,57.641793623,-67.7169
-167.5470072828,57.6417945245,-67.511
-167.5469948522,57.6417951282,-67.6645
-167.5469853467,57.6417955548,-68.0321
-167.5469758778,57.6417959796,-68.4003
-167.5469658909,57.641796439,-68.7022
-167.5469528295,57.6417970836,-68.7744
-167.5469372871,57.6417978785,-68.6291
-167.5469216988,57.6417986791,-68.4689
-167.5469062636,57.6417994764,-68.2698
-167.5468911253,57.6418002565,-68.0993
-167.5468782507,57.641800899,-68.1089
-167.5468657102,57.641801521,-68.1347
-167.5468515395,57.6418022461,-67.9982
-167.5468381723,57.6418029269,-67.8946
-167.5468261081,57.6418035245,-67.9222
-167.5468150789,57.6418040633,-68.039
-167.5468043955,57.6418045781,-68.1807
-167.5467940918,57.6418050735,-68.3286
-167.5467840012,57.6418055533,-68.5166
-167.5467731662,57.6418060824,-68.6215
-167.5467294491,57.6418086711,-65.2105
-167.5467311361,57.6418084257,-66.5953
-167.5467274697,57.6418085109,-67.3905
-167.5467208449,57.6418087799,-67.9077
-167.5467123617,57.6418091657,-68.219
-167.5467042202,57.6418095279,-68.5716
-167.546680265,57.6418107566,-68.325
-167.5466649852,57.6418115838,-67.7676
-167.5466559107,57.6418120123,-67.9731
-167.546647049,57.6418124274,-68.2045
-167.5466381846,57.6418128463,-68.4055
-167.5466287557,57.6418132992,-68.5565
-167.5466191768,57.6418137626,-68.6822
-167.5466090862,57.6418142606,-68.7288
-167.5465979221,57.6418148331,-68.6078
-167.5465885708,57.641815288,-68.7126
-167.5465801722,57.641815676,-68.9918
-167.5465689721,57.6418162553,-68.8287
-167.5465590902,57.6418167451,-68.8615
-167.5465495314,57.6418172176,-68.905
-167.5465372864,57.6418178763,-68.5132
-167.5465258476,57.6418184778,-68.2321
-167.5465159741,57.6418189741,-68.2262
-167.5465066819,57.6418194305,-68.2999
-167.5464977102,57.6418198692,-68.3912
-167.5464886359,57.6418203118,-68.4965
-167.5464797,57.6418207451,-68.6261
-167.5464706112,57.6418211898,-68.7213
-167.5464615042,57.641821641,-68.7665
-167.5464516719,57.6418221442,-68.6842
-167.5464417966,57.64182265,-68.577
-167.5464321359,57.6418231416,-68.5034
-167.546422799,57.6418236105,-68.4951
-167.5464138184,57.6418240608,-68.5182
-167.5464047855,57.6418245085,-68.571
-167.5463957049,57.6418249608,-68.6047
-167.5463867869,57.641825401,-68.6786
-167.5463782965,57.6418258129,-68.8224
-167.5463701218,57.64182619,-69.131
-167.5463659422,57.641826226,-70.76
-167.5463548632,57.6418268461,-70.1904
-167.5463426639,57.641827577,-69.0983
-167.5463336631,57.6418280349,-69.0519
-167.5463248767,57.6418284672,-69.1545
-167.5463161258,57.6418288961,-69.2753
-167.5463073815,57.641829324,-69.4049
-167.5462989517,57.6418297288,-69.6074
-167.5462902192,57.6418301507,-69.7707
-167.5462813187,57.6418305923,-69.849
-167.546272567,57.6418310166,-70.0246
-167.5462639522,57.6418314222,-70.3184
-167.5462552703,57.6418318456,-70.4714
-167.5462457304,57.6418323689,-70.0748
-167.5462365948,57.641832847,-69.9447
-167.5462278385,57.6418332615,-70.2069
-167.5462187637,57.6418337303,-70.1201
-167.5462102182,57.6418341201,-70.5457
-167.5462010726,57.6418346059,-70.3314
-167.5461919769,57.6418350937,-70.0745
